id,class,set
___grand_collection__dmitriy_hvorostovskiysegment66,European traditional folklore,train
telemann__brockes_passion__passion_oratorio_completesegment107,Baroque Classical symbolism,train
cpebach_magnificat_in_d_major_wq_215_h772segment4,Baroque Classical symbolism,train
scandinavian_folk_music____best_scandinavian_traditional_musicsegment132,European traditional folklore,train
beethoven__missa_solemnis__new_mastering__p_centurys_recording_herbert_von_karajan_1975segment14,Baroque Classical symbolism,train
mayan_ambiance_mexican_traditional_musicsegment117,American traditional folklore,train
john_williams_greatest_hits_full_album_2021__the_best_of_john_williams_playlist_collection_2021segment146,20th century traditional open view,test
best_songs_of_ludovico_einaudi_ludovico_einaudi_greatest_hits_full_album_2021hqsegment141,20th century traditional figure,train
schoenberg_string_quartets1to4segment82,20th century experimental figure,train
sepultura_greatest_hits__max__igor_cavalera_andreas_kisser_and_paulo_jr_erasegment90,Heavy metal,train
motets_of_the_venetian_school_xvi_centurysegment65,Renaissance symbolism,validation
John_Field__18_Nocturnessegment77,Romanticism figure,test
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment221,20th century traditional figure,test
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment344,Romanticism open view,train
suite_bergamasque__claude_debussy_scoresegment1,20th century traditional figure,train
modest_mussorgsky__songs_and_dances_of_death_for_soprano_and_piano_1870s_scorevideosegment40,Romanticism figure,train
chopin_complete_sonatas__music_compilationsegment198,Romanticism figure,train
_qawwali__sufi_music_from_pakistansegment77,Asian traditional folklore,train
african_folk_music_instrumental__marimba_kalimba__drumssegment53,African traditional folklore,train
michaeljackson_greatest_hits_2023__michael_jackson_best_soul_songs_90s__2000s_playlistsegment283,Electronic music,train
hindemith_horn_concertosegment10,20th century experimental open view,train
symphony_no7_seven_gates_of_jerusalem__krzysztof_pendereckisegment78,20th century abstractionism,train
the_best_of_francois_couperinsegment138,Baroque Classical secular subject,validation
a_e_r_o_s_m_i_t_h__greatest_hits_full_album_2022__a_e_r_o_s_m_i_t_h__best_songs_collectionsegment66,Modern instrumental music,train
at_the_sign_of_the_crumhorn_flemish_songs_and_dance_music_of_the_renaissancesegment100,Renaissance secular subject,validation
andalousie_los_gitanillos_de_cadizsegment3,European traditional folklore,train
scriabinsonate1to4segment62,20th century traditional figure,train
best_songs_of_norah_jones_full_album_2021__norah_jones_greatest_hits_full_playlistsegment25,Modern instrumental music,validation
krzysztof_penderecki__st_luke_passion_1966segment62,20th century abstractionism,train
traditional_chinese_music_melodies____segment280,Asian traditional folklore,train
african_folk_music_instrumental__marimba_kalimba__drumssegment6,African traditional folklore,train
blind_guardian__the_god_machine_full_album_streamsegment24,Heavy metal,train
leos_janacek__sinfoniettasegment48,20th century experimental open view,test
arvo_part__symphonies_cello_concerto_collage_uber_bach__centurys_recording_paavo_jarvisegment182,20th century abstractionism,train
traditional_african_music_folk_music_instrumental_for_relaxing_studying__ambiencesegment252,African traditional folklore,train
mozart_piano_sonata_no_10_in_c_major_k_330__christoph_eschenbach_1970__dg_2561_069segment4,Baroque Classical secular subject,train
js_bach_musikalisches_opfer_bwv_1079_le_concert_des_nations__jsavallsegment22,Baroque Classical secular subject,train
scriabin_mazurkas_poemes__impromtusop40toop73segment13,20th century experimental figure,train
the_best_of_pandit_jasraj__audio_jukebox__vocal__classical__music_todaysegment23,Asian traditional folklore,test
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment349,Romanticism open view,train
anton_bruckner__symphony_no7_in_e_major__herbert_von_karajan_wiener_philharmoniker_1989segment2,Romanticism open view,train
paul_hindemith_ludus_tonalissegment11,20th century experimental figure,train
the_best_of_tallissegment53,Renaissance symbolism,validation
albeniz_guitar_workssegment9,20th century traditional figure,train
willie_nelson_greatest_hits_full_album__best_country_music_of_willie_nelson_essential_songssegment47,Modern instrumental music,train
janacek__taras_bulba_rhapsody_for_orchestra_1918segment46,20th century experimental open view,train
m_o_t_o_r_h_e_a_d_greatest_hits_album__best_songs_of_m_o_t_o_r_h_e_a_d_playlistsegment71,Heavy metal,train
John_Field__18_Nocturnessegment56,Romanticism figure,train
rimskykorsakov__the_golden_cockerel__moscow_po__kitaenkosegment154,20th century traditional open view,test
berio__complete_sequenzasegment160,20th century abstractionism,train
verdi___requiem_soltisegment39,20th century traditional open view,validation
turangalila_symphony__olivier_messiaensegment72,20th century experimental open view,train
elvis_presley_greatest_hit__the_best_songs_of_elvis_presleysegment194,Modern instrumental music,validation
beethoven__diabelli_variations_op_120_grigory_sokolovsegment120,Baroque Classical secular subject,test
the_verve__urban_hymns_full_albumsegment36,Modern instrumental music,train
traditional_chinese_music_melodies____segment21,Asian traditional folklore,train
booster_unpublished__tangerine_dreamsegment6,Electronic music,train
three_pieces_for_orchestra_op6_by_alban_berg_audio__full_scoresegment35,20th century experimental open view,train
jazz_gillum__chicago_blues_on_airsegment26,African traditional folklore,train
tchaikovsky__the_seasons_full__piano_vadim_chaimovichsegment37,Romanticism figure,train
cpebach_magnificat_in_d_major_wq_215_h772segment12,Baroque Classical symbolism,train
johannes_ockeghem_c14101497_masses_motets__chansonssegment85,Renaissance symbolism,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment33,20th century experimental open view,train
js_bach__passione_secondo_matteo_bwv_244segment69,Baroque Classical symbolism,train
sardegna_polyphonies_sardes_coro_di_pozzomaggioresegment65,European traditional folklore,train
sepultura_greatest_hits__max__igor_cavalera_andreas_kisser_and_paulo_jr_erasegment145,Heavy metal,train
dualipa_greatest_hits_full_album_2023__dualipa_best_songs_playlist_2023segment354,Electronic music,test
bartok__mikrokosmos_complete_with_scoresegment201,20th century experimental figure,train
discover_dufay__1_hour_of_sacred_chants_and_polyphony_from_the_xvth_centhurysegment15,Renaissance symbolism,test
handel__messiah__by_london_philharmonic_complete_concertofullsegment113,Baroque Classical symbolism,train
full_album_megadeth__rust_in_peacesegment45,Heavy metal,test
ensiferum___from_afar_full_albumsegment76,Heavy metal,train
de_falla_piano_music_completesegment118,20th century traditional figure,train
_traditional_folk_songs_of_japansegment134,Asian traditional folklore,train
century_xii_medieval_sacred_songssegment155,Renaissance symbolism,train
java__gamelans_from_the_sultans_palace_in_jogjakartasegment95,Asian traditional folklore,train
cannibal_corpse__eaten_back_to_life_full_albumsegment69,Heavy metal,train
handel__messiah__by_london_philharmonic_complete_concertofullsegment200,Baroque Classical symbolism,train
rachmaninov__symphonies_nos123__vocalise__presentation_reference_record__evgeny_svetlanovsegment110,20th century traditional open view,train
java__gamelans_from_the_sultans_palace_in_jogjakartasegment18,Asian traditional folklore,train
chants_des_maquis_du_vietnamsegment39,Asian traditional folklore,train
beautiful_russian_traditional_music_kalinka_katyusha_etc_____segment12,European traditional folklore,train
Jean_Michel_Jarre__The_Best_Hit_Collections_Disc_12_full_albumsegment109,Electronic music,train
artie_shaw_greatest_hits__the_best_of_artie_shaw__jazz_nightsegment169,Modern instrumental music,train
stravinsky_pulcinella_with_scoresegment44,20th century traditional open view,train
sacred_music_of_the_renaissancesegment58,Renaissance symbolism,test
byrd_bull_morley_etc__english_virginalists_zuzana_ruzickovasegment100,Renaissance secular subject,train
bach_the_goldberg_variations_bwv_988_recorded1981__glenn_gould_432hzsegment18,Baroque Classical secular subject,validation
drumming_pt_ivsegment8,20th century abstractionism,train
the_best_of_verdi_150_minutes_of_classical_music__hq_recordingsegment63,20th century traditional open view,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment691,20th century traditional figure,train
supersilent__6segment48,Electronic music,train
aram_khachaturian__symphony_no_3_in_c_major_symphonypoemsegment12,20th century experimental open view,validation
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment340,20th century traditional figure,train
jayz__the_book_of_hov__full_mixtape__dj_phvmm_segment131,Electronic music,train
machaut__messe_de_notre_dame_ensemble_organumsegment30,Renaissance symbolism,train
anton_bruckner__symphony_no7_in_e_major__herbert_von_karajan_wiener_philharmoniker_1989segment40,Romanticism open view,validation
beethoven_string_quartet_no_7_in_f_major_op_59_no_1segment30,Baroque Classical secular subject,train
francis_poulenc__sonata_for_clarinet_and_pianosegment3,20th century traditional figure,validation
johnny_cash_greatest_hits__best_songs_of_johnny_cash__full_albumsegment95,Modern instrumental music,validation
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment119,20th century traditional figure,train
rimskykorsakov__the_golden_cockerel__moscow_po__kitaenkosegment234,20th century traditional open view,test
argentine_andean_folk_musicsegment40,American traditional folklore,train
berlioz_symphonie_fantastique_op14_with_scoresegment31,Romanticism open view,train
popol_vuh__aguirresegment24,Electronic music,train
dmitri_shostakovich__24_preludes_and_fugues_op_87segment47,20th century traditional figure,test
sacred_music_of_the_renaissancesegment62,Renaissance symbolism,validation
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment90,American traditional folklore,train
_guan_pinghu__segment29,Asian traditional folklore,train
best_of_max_giesinger__max_giesinger_greatest_hits_full_album_2023segment27,Modern instrumental music,validation
bachs_most_beautiful_choralessegment80,Baroque Classical symbolism,train
java__gamelans_from_the_sultans_palace_in_jogjakartasegment163,Asian traditional folklore,train
beethoven__missa_solemnis__new_mastering__p_centurys_recording_herbert_von_karajan_1975segment145,Baroque Classical symbolism,train
led_zeppelin__mothership_full_album_2007_remaster__led_zeppelin__greatest_hitssegment111,Modern instrumental music,train
philip_glass__glassworks_completesegment76,20th century abstractionism,train
the_best_music_of_carl_philipp_emanuel_bachsegment35,Baroque Classical secular subject,train
mayan_ambiance_mexican_traditional_musicsegment31,American traditional folklore,train
schubert_die_schone_mullerin_full_op_25_d_795segment86,Romanticism figure,train
symphony_no_9__beethovensegment29,Baroque Classical secular subject,train
full_score_poulenc__concerto_for_two_pianos_and_orchestra_fp_61segment14,20th century traditional open view,train
sacred_spirit_chants_and_dances_of_the_native_americans_vol_1_full_album___10youtube_comsegment57,American traditional folklore,train
symphony_no7_seven_gates_of_jerusalem__krzysztof_pendereckisegment22,20th century abstractionism,validation
george_jones_greatest_hits__best_songs_of_george_jonessegment42,Modern instrumental music,train
bachs_most_beautiful_choralessegment44,Baroque Classical symbolism,validation
harry_belafonte__1956_greatest_hits__calypso_full_albumsegment67,African traditional folklore,train
messiaen__quartet_for_the_end_of_time_themes_and_variationssegment57,20th century experimental figure,train
alban_berg__string_quartet_op_3segment36,20th century experimental figure,train
gyorgy_ligeti__etudes_for_piano_19852001_audioscoresegment78,20th century abstractionism,train
paul_hindemithquartetsfrom2to6segment220,20th century experimental figure,train
iron_maiden_best_songs_playlist__greatest_hits_full_album_2021segment149,Heavy metal,train
sardegna_canti_liturgici_di_tradizione_oralesegment106,European traditional folklore,test
minyo__the_deep_song_of_korea_segment50,Asian traditional folklore,train
minyo__the_deep_song_of_korea_segment89,Asian traditional folklore,train
m_o_t_o_r_h_e_a_d_greatest_hits_album__best_songs_of_m_o_t_o_r_h_e_a_d_playlistsegment119,Heavy metal,test
faure_cello_sonatassegment24,20th century experimental figure,train
pierre_boulez__pli_selon_pli_audio__full_scoresegment131,20th century abstractionism,validation
mussorgsky__boris_godunov_1869__presentation_talvela__reference_recording__jerzy_semkowsegment330,Romanticism open view,train
schubert_selected_liedersegment49,Romanticism figure,train
georges_bizet__symphony_in_c_1855_haitink_concertgebouwsegment36,Romanticism open view,train
ravi_shankar__the_spirit_of_india_full_albumsegment48,Asian traditional folklore,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment121,Baroque Classical symbolism,validation
dmitri_shostakovich__cello_sonata_op_40_1934segment24,20th century traditional figure,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment193,American traditional folklore,train
thursday_afternoon_2005_digital_remastersegment20,Electronic music,train
chad_music_from_tibestisegment50,African traditional folklore,train
tina_turner__greatest_hits__full_album_2023segment60,Modern instrumental music,train
aztec_music__musica_prehispanica_vol1__fiesta__sacrificio__guerra__ritos__cinematic_deliriumsegment59,American traditional folklore,train
andean_folklore_music_mix_musical_instrument_from_south_america_quena_and_samponasegment53,American traditional folklore,train
_traditional_folk_songs_of_japansegment187,Asian traditional folklore,train
joe_cocker_greatest_hits_full_album__best_songs_of_joe_cockersegment17,Modern instrumental music,validation
john_williams_greatest_hits_full_album_2021__the_best_of_john_williams_playlist_collection_2021segment190,20th century traditional open view,train
herri_buom__folkmusik_fran_follingebygden_swedensegment26,European traditional folklore,train
faure_complete_piano_quartets__quintetssegment242,20th century traditional figure,train
olivier_messiaen__vingt_regards_sur_lenfantjesus_1944segment167,20th century experimental figure,train
r_a_m_m_s_t_e_i_n_greatest_hits_full_album__best_songs_of_r_a_m_m_s_t_e_i_n_playlist_2021segment75,Heavy metal,train
imagine_dragons_playlistsegment68,Electronic music,train
schubert_selected_liedersegment82,Romanticism figure,train
beethoven__missa_solemnis__new_mastering__p_centurys_recording_herbert_von_karajan_1975segment148,Baroque Classical symbolism,train
traditional_chilean_music__the_best_chilean_cueca_all_the_timesegment81,Modern instrumental music,test
elektra_op58__by_r_strauss_audio__sheet_musicsegment192,20th century experimental open view,train
js_bach_musikalisches_opfer_bwv_1079_le_concert_des_nations__jsavallsegment129,Baroque Classical secular subject,train
music_from_bali__the_gamelan_orchestrasegment33,Asian traditional folklore,train
traditional_italian_music_typical_instrumental_folksegment87,European traditional folklore,train
devildriver__the_fury_of_our_makers_hand_full_albumsegment11,Heavy metal,train
herri_buom__folkmusik_fran_follingebygden_swedensegment64,European traditional folklore,test
marco_mengoni_le_migliori_canzoni_dellalbum_completo_2023__marco_mengoni___2023__eurovision_2023segment63,Modern instrumental music,validation
grup_yorum__en_sevilen_sarklar_gelmis_gecmis_tum_turkuler_karsk_ibrahim_gokcek_ansnasegment213,Asian traditional folklore,test
chad_music_from_tibestisegment42,African traditional folklore,train
dr_ludwigs_medieval_german_song_compilationsegment32,Renaissance secular subject,train
tchaikovsky_complete_ballets_swan_lake__sleeping_beauty__the_nutcrackersegment100,20th century traditional figure,train
alfred_brendel___schubert_impromptus___segment76,Romanticism figure,validation
krzysztof_penderecki__st_luke_passion_1966segment126,20th century abstractionism,train
aram_khachaturian_gayaneh_1942_rev_1957segment106,20th century traditional open view,train
turangalila_symphony__olivier_messiaensegment151,20th century experimental open view,train
hank_williams_greatest_hits_full_album__hank_williams_new_song_playlist_2022segment85,Modern instrumental music,train
youre_a_royal_falling_in_love_in_an_ancient_asian_kingdomsegment59,Asian traditional folklore,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment29,American traditional folklore,train
1_hour_of_the_best_instrumental_opera_music__by_gaetano_donizettisegment92,Romanticism open view,test
Jean_Michel_Jarre__The_Best_Hit_Collections_Disc_12_full_albumsegment363,Electronic music,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment183,American traditional folklore,train
pantera__the_best_of_full_albumsegment105,Heavy metal,train
sicilia_musica_della_settimana_santasegment14,European traditional folklore,validation
turangalila_symphony__olivier_messiaensegment80,20th century experimental open view,train
youre_a_royal_falling_in_love_in_an_ancient_asian_kingdomsegment75,Asian traditional folklore,train
liszt_sonata_in_b_minor_zimermansegment23,Romanticism figure,test
rachmaninoff_etudestableaux_complete_full_album_played_by_zlata_chochievasegment8,20th century traditional figure,train
paul_hindemithquartetsfrom2to6segment156,20th century experimental figure,train
30_migliori_canzoni_di__lucio_dalla___lucio_dalla_greatest_hits_full_albumsegment89,Modern instrumental music,train
motets_of_the_venetian_school_xvi_centurysegment63,Renaissance symbolism,train
alexander_von_zemlinsky__string_quartet_no_4_op_25segment45,20th century experimental figure,train
john_cage_piano_works_full_albumsegment92,20th century abstractionism,train
scriabin_mazurkas_poemes__impromtusop1toop38segment123,20th century traditional figure,train
_traditional_folk_songs_of_japansegment190,Asian traditional folklore,validation
scriabin_symphony_no_4_opus_54_le_poeme_de_lextasesegment26,20th century experimental open view,train
salvatore_sciarrino__quaderno_di_strada_audio__scoresegment68,20th century abstractionism,train
count_basie_orchestra___the_complete_atomic_basie__1957_full_albumsegment98,Modern instrumental music,train
kronos_quartet_performs_philip_glass__completesegment26,20th century abstractionism,train
__the_best_of_east_europe_folk__2021segment113,European traditional folklore,train
anime_opening_music_mix__anime_updating_2023__anime_opening_compilation_2023segment106,Asian traditional folklore,train
villalobos__alcachofa_full_albumsegment33,Electronic music,train
beethoven__missa_solemnis__new_mastering__p_centurys_recording_herbert_von_karajan_1975segment101,Baroque Classical symbolism,train
john_dunstable_c13901453__musician_to_the_plantagenetssegment4,Renaissance symbolism,validation
francis_poulenc_sextet_for_piano_and_wind_quintet_fp_100_19321939segment3,20th century traditional figure,train
antonio_vivaldi__le_quattro_stagioni__the_four_seasons__classical_musicsegment54,Baroque Classical secular subject,train
saint_saens___le_carnaval_des_animaux__the_carnival_of_the_animals___1886segment18,Romanticism open view,train
enrique_granados__dante_op21segment1,20th century traditional open view,train
odetta__sometimes_i_feel_like_cryin_full_vinyl_lpsegment12,African traditional folklore,train
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment22,American traditional folklore,train
ligeti__le_grand_macabresegment98,20th century abstractionism,train
harry_belafonte__1956_greatest_hits__calypso_full_albumsegment26,African traditional folklore,test
visor_fran_gotland__fieldrecordings_from_swedensegment81,European traditional folklore,train
steve_reich__electric_counterpoint_fullsegment23,Electronic music,train
chad_music_from_tibestisegment29,African traditional folklore,train
jordi_savall__merula_tarquinio__arie_e_capricci_a_voce_sola__mfiguerassegment75,Baroque Classical secular subject,test
h_purcell_the_tempest_or_the_enchanted_isle_z631monteverdi_choir__monteverdi_orchestrasegment94,Baroque Classical symbolism,train
zoltan_kodaly__sonata_for_solo_cellosegment12,20th century traditional figure,train
radiohead_best_songsradiohead_greatest_hitsradiohead_playlistsegment118,Modern instrumental music,train
haydn___takacs_quartet___6_string_quartets_op__76segment43,Baroque Classical secular subject,train
sacred_spirit_chants_and_dances_of_the_native_americans_vol_1_full_album___10youtube_comsegment37,American traditional folklore,test
brian_eno__new_space_musicsegment59,Electronic music,train
chopin_24_preludes_op28_blechaczsegment1,Romanticism figure,validation
Jean_Michel_Jarre__The_Best_Hit_Collections_Disc_12_full_albumsegment257,Electronic music,train
pierre_boulez__pli_selon_pli_audio__full_scoresegment85,20th century abstractionism,train
musiques_de_la_toundra_et_de_la_taigasegment61,European traditional folklore,train
monteverdi_madrigali_guerrieri_et_amorosi_libro_ottavo_jordi_savallsegment59,Renaissance secular subject,train
strauss_ii___waltzes_polkas__operettas__classical_music_collectionsegment227,20th century traditional figure,train
north_indian_classical_music__vocal_musicsegment55,Asian traditional folklore,train
prokofiev_vision_fugitives_op_22_boris_bermansegment5,20th century experimental figure,validation
John_Field__18_Nocturnessegment159,Romanticism figure,train
bach_mass_in_b_minor_bwv_232__karl_richtersegment188,Baroque Classical symbolism,validation
iannis_xenakis__kraanerg_1970segment11,20th century abstractionism,train
discover_dufay__1_hour_of_sacred_chants_and_polyphony_from_the_xvth_centhurysegment91,Renaissance symbolism,train
rachmaninoff_preludes_complete_full_album_played_by_lukas_geniusassegment39,20th century traditional figure,train
smetana_ma_vlastsegment29,Romanticism open view,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment243,Romanticism open view,train
scriabinetudesop42to65segment3,20th century experimental figure,train
luigi_nono_intolleranza_1960segment1,20th century abstractionism,validation
symphony_no4_adagio__krzysztof_pendereckisegment7,20th century abstractionism,train
_qawwali__sufi_music_from_pakistansegment42,Asian traditional folklore,train
strauss_ii___waltzes_polkas__operettas__classical_music_collectionsegment30,20th century traditional figure,train
arvo_part_lamentatesegment49,20th century abstractionism,train
paul_hindemith_konzertmusik_op49_1930segment41,20th century experimental open view,validation
bartok__mikrokosmos_complete_with_scoresegment178,20th century experimental figure,train
bachs_most_beautiful_choralessegment57,Baroque Classical symbolism,train
berio__sinfonia_1969_with_scoresegment17,20th century abstractionism,train
ensiferum___from_afar_full_albumsegment88,Heavy metal,train
ottorino_respighi__concerto_gregoriano_for_violin_and_orchestra_1921_scorevideosegment14,20th century traditional open view,train
minyo__the_deep_song_of_korea_segment77,Asian traditional folklore,train
verdi___requiem_soltisegment105,20th century traditional open view,train
rimskykorsakov__the_golden_cockerel__moscow_po__kitaenkosegment49,20th century traditional open view,train
schubert__piano_sonata_d960__richter_studiosegment16,Romanticism figure,test
taj_mahal__1968__taj_mahal_full_album_remastered_hqsegment23,African traditional folklore,train
elektra_op58__by_r_strauss_audio__sheet_musicsegment209,20th century experimental open view,test
argentine_andean_folk_musicsegment13,American traditional folklore,train
tutti_i_successi_di_giorgio_gaber__mix_giorgio_gaber__le_piu_belle_canzoni_di_giorgio_gabersegment26,Modern instrumental music,train
richard_strauss__metamorphosensegment29,20th century experimental open view,train
zemlinsky__string_quartet_no_2_op_15segment51,20th century experimental figure,train
musica_popolare_e_canti_dallitalia_1953segment74,European traditional folklore,train
paul_hindemith_ludus_tonalissegment204,20th century experimental figure,train
handel__messiah__by_london_philharmonic_complete_concertofullsegment81,Baroque Classical symbolism,train
yehudi_menuhin_plays_bartok_solo_sonatasegment42,20th century experimental figure,train
___grand_collection__dmitriy_hvorostovskiysegment34,European traditional folklore,train
bachs_most_beautiful_choralessegment16,Baroque Classical symbolism,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment37,American traditional folklore,validation
the_best_of_madonna_songs_2022__madonna_greatest_hits_full_album__la_isla_bonita_hung_up_segment63,Electronic music,train
mayan_music_playlist_2_ultra_extendedsegment173,American traditional folklore,train
johannes_brahms__woo_1_21_hungarian_dances_piano_4_hands_katsaris_merciersegment62,Romanticism figure,train
frederic_chopin__19_nocturnes_rubinsteinsegment141,Romanticism figure,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment67,Baroque Classical symbolism,train
sergei_prokofiev__sonatasfrom6to9segment67,20th century experimental figure,train
frederic_chopin__19_nocturnes_rubinsteinsegment21,Romanticism figure,train
henry_purcell___sacred_musicsegment61,Baroque Classical symbolism,train
traditional_african_music_folk_music_instrumental_for_relaxing_studying__ambiencesegment52,African traditional folklore,train
hayastan__armenian_dancessegment28,European traditional folklore,train
slipknot__greatest_hitssegment457,Heavy metal,test
carlo_gesualdo__madrigals_book_6segment48,Renaissance secular subject,train
padre_antonio_soler__sonatas__mario_raskinsegment78,Baroque Classical secular subject,train
cpebach_magnificat_in_d_major_wq_215_h772segment5,Baroque Classical symbolism,train
ptchaikovsky_complete_symphonies__lmaazel_viennapo__196064segment267,Romanticism open view,train
ravel_complete_piano_musicsegment217,20th century traditional figure,train
fela_kuti_nigeria_1973__gentleman_full_albumsegment35,African traditional folklore,train
slayer__seasons_in_the_abyss_full_album_hqsegment70,Heavy metal,train
anton_webern__8_early_songs_for_voice_and_piano_190104segment3,20th century traditional figure,train
canzoniere_popolare_tortonese__canta_par_no_muri_1977_completosegment11,European traditional folklore,train
anime_opening_music_mix__anime_updating_2023__anime_opening_compilation_2023segment57,Asian traditional folklore,train
sister_rosetta_tharpe__the_best_of_vol_1_full_album__album_completsegment47,African traditional folklore,train
gems_of_the_renaissance_musicsegment38,Renaissance secular subject,train
mahler_symphony_no_9_with_scoresegment130,20th century traditional open view,train
the_best_of_mendelssohnsegment24,Romanticism open view,train
satie_piano_music_full_albumsegment84,20th century traditional figure,train
at_the_sign_of_the_crumhorn_flemish_songs_and_dance_music_of_the_renaissancesegment94,Renaissance secular subject,test
sicilia_musica_della_settimana_santasegment68,European traditional folklore,train
john_dunstable_c13901453__musician_to_the_plantagenetssegment44,Renaissance symbolism,train
the_best_of_guzheng__chinese_musical_instruments__relaxing_music_part_1segment87,Asian traditional folklore,validation
darius_milhaud_quartet_for_flute_oboe_clarinet_and_piano_with_scoresegment10,20th century experimental figure,train
salvatore_sciarrino__lohengrinsegment69,20th century abstractionism,train
tool__lateralus_full_album_hqsegment116,Heavy metal,train
janacek__taras_bulba_rhapsody_for_orchestra_1918segment10,20th century experimental open view,train
augustus_pablo__the_essential_collection_chapter_i_full_albumsegment11,African traditional folklore,train
aurasegment12,20th century abstractionism,train
John_Field__18_Nocturnessegment168,Romanticism figure,train
johannes_ockeghem_c14101497_masses_motets__chansonssegment34,Renaissance symbolism,train
mayan_ambiance_mexican_traditional_musicsegment14,American traditional folklore,validation
the_best_of_pandit_jasraj__audio_jukebox__vocal__classical__music_todaysegment46,Asian traditional folklore,train
brahms__symphony_no1_2_3_4_full__classical_music_hdsegment25,Romanticism open view,train
paul_hindemith_ludus_tonalissegment66,20th century experimental figure,train
scriabin_mazurkas_poemes__impromtusop1toop38segment195,20th century traditional figure,train
ensiferum___from_afar_full_albumsegment49,Heavy metal,test
schoenberg_variations_op_31segment41,20th century experimental open view,train
sardegna_canti_liturgici_di_tradizione_oralesegment79,European traditional folklore,train
manowar_greatest_hitssegment161,Heavy metal,train
handel__messiah__by_london_philharmonic_complete_concertofullsegment193,Baroque Classical symbolism,train
austrian_folk_music_from_tirolsegment127,European traditional folklore,train
bach__complete_flute_sonatas__emmanuel_pahud__trevor_pinnocksegment187,Baroque Classical secular subject,train
stravinsky___the_firebird_fullsegment44,20th century experimental open view,train
antonio_vivaldi__le_quattro_stagioni__the_four_seasons__classical_musicsegment92,Baroque Classical secular subject,train
_tunisian_folk_musicsegment30,African traditional folklore,train
moscheles__piano_concerto_no_3_in_g_minor_op__58segment19,Romanticism open view,train
musiques_de_la_toundra_et_de_la_taigasegment20,European traditional folklore,train
mozart__sacred_music__mass_oratorio_vesperea__presentation_centurys_record__andre_charlinsegment30,Baroque Classical symbolism,validation
yurac_malki__viva_inca__music_from_equador_peru_and_bolivia_full_albumsegment54,American traditional folklore,train
charles_iveslarry_austin__universe_symphony_symphony_no_6_wscoresegment7,20th century experimental open view,train
leos_janacek__violin_sonatasegment4,20th century experimental figure,train
relaxing_music_spirit_of_american_indians_native_american_indian_music_native_flute_musicsegment61,American traditional folklore,train
la_monte_young__trio_for_strings_part_2_of_8segment28,20th century abstractionism,train
richard_strauss__also_sprach_zarathustra_op_30segment3,20th century traditional open view,train
la_monte_young__composition_1960_no7segment126,20th century abstractionism,train
john_williams_greatest_hits_full_album_2021__the_best_of_john_williams_playlist_collection_2021segment203,20th century traditional open view,test
carlo_gesualdo__madrigals_book_6segment32,Renaissance secular subject,train
domenico_cimarosa__32_piano_sonatassegment44,Baroque Classical secular subject,train
satie_piano_music_full_albumsegment100,20th century traditional figure,validation
almost_persuaded__loretta_lynn__best_songs_of_loretta_lynn__top_classic_country_songssegment47,Modern instrumental music,validation
antonio_vivaldi__le_quattro_stagioni__the_four_seasons__classical_musicsegment12,Baroque Classical secular subject,train
jimi_hendrix_greatest_hits__best_of_jimi_hendrix__jimi_hendrix_best_songssegment4,Modern instrumental music,train
jordi_savall__merula_tarquinio__arie_e_capricci_a_voce_sola__mfiguerassegment8,Baroque Classical secular subject,validation
suite_bergamasque__claude_debussy_scoresegment16,20th century traditional figure,train
henry_purcell___sacred_musicsegment43,Baroque Classical symbolism,train
vivaldi__gloria_in_d_major__rv_589segment2,Baroque Classical symbolism,train
gyorgy_kurtag_jatekok__book_1_completesegment98,20th century abstractionism,train
aram_khachaturian_gayaneh_1942_rev_1957segment30,20th century traditional open view,validation
monteverdi_madrigali_guerrieri_et_amorosi_libro_ottavo_jordi_savallsegment58,Renaissance secular subject,train
andean_folklore_music_mix_musical_instrument_from_south_america_quena_and_samponasegment20,American traditional folklore,train
manu_chao_sus_mejores_exitos__manu_chao_30_grandes_exitossegment77,African traditional folklore,train
Sergei_Prokofiev__Suite_From_Romeo__Julietsegment75,20th century traditional open view,train
shostakovich___piano_sonata_no_1_op_12_lilya_zilbersteinsegment19,20th century experimental figure,train
argentine_andean_folk_musicsegment12,American traditional folklore,train
