id,class,set
zandaqianetal14,Asian traditional folklore,train
titian213,Renaissance symbolism,train
vermeer24,Baroque Classical secular subject,train
alfredsisley3,Romanticism open view,train
ancientegipt52,African traditional folklore,train
pierreaugusterenoir127,20th century traditional figure,train
paulcezanne24,20th century experimental open view,train
edgardegas439,Romanticism figure,train
abd83d94c3de4d32b3fc356342b43ff5c,Heavy metal,validation
hieronymusbosch58,Renaissance secular subject,validation
tracy1684,Electronic music,test
rembrandt2,Baroque Classical secular subject,train
pierreaugusterenoir114,20th century experimental open view,train
nicholasroerichsunriseunfinished1930,20th century traditional open view,validation
a3092a4ae58563fbe4398d36988697f0c,Heavy metal,test
rembrandt98,Baroque Classical secular subject,train
caspardavidfriedrich23,Romanticism open view,train
shraza5,Asian traditional folklore,train
candidoportinari6,American traditional folklore,train
bartolomeoveneto20,Renaissance secular subject,train
henrirousseau37,20th century traditional open view,train
konstantinvasilyev25,Heavy metal,validation
herradoflandsberg7,European traditional folklore,train
kentmonkman17,American traditional folklore,test
moderncomanche1890jpglarge,American traditional folklore,train
edgardegas607,20th century traditional figure,train
pierreaugusterenoir61,20th century traditional figure,train
b61aca0c357b6afed828064fac1d466bc,Heavy metal,train
pierreaugusterenoir12,20th century experimental figure,validation
vincentvangogh423,Romanticism figure,train
konstantinvasilyev43,Heavy metal,train
marisolescobar2,American traditional folklore,train
franciscogoya212,Romanticism figure,train
rafaelzabaleta4,European traditional folklore,test
childehassamtheeveningstar,20th century experimental open view,train
nicholasroerichnovgorodcemeterynorthernrus1943,20th century traditional open view,validation
7b843a8eab778d9e4ed770f77e83c2e1c,Heavy metal,train
a64a20aefde8015368beae07831b97a9c,Heavy metal,train
jaroslavkeluc23,20th century traditional open view,test
vincentvangogh166,Romanticism open view,train
davidalfaro_siqueiros7,American traditional folklore,train
marcchagall189,European traditional folklore,validation
albrechtduerer104,Renaissance secular subject,train
edgardegas380,Romanticism figure,train
carmelo_arden_quin8,Modern instrumental music,train
vincentvangogh683,Romanticism open view,train
amedeomodigliani177,20th century traditional figure,validation
cimabue11,Renaissance symbolism,train
elgreco33,Renaissance symbolism,train
leonardodavinci114,Renaissance symbolism,train
marktobeytotemseriesabstraction,20th century abstractionism,train
ernstludwigkirchnerviewfromthewindow,20th century experimental open view,train
konstantinbogaevskycimmeriantwilight1911,20th century experimental open view,train
afewerktekle5,African traditional folklore,train
franciscogoya180,Romanticism figure,train
johnhoylandtigerseye103072007,20th century abstractionism,train
titian4,Renaissance symbolism,train
indianparty1915jpglarge,American traditional folklore,train
fridakahlo48,Modern instrumental music,train
alexandrebenois1,European traditional folklore,train
pietmondrian26,20th century traditional open view,validation
gustavklimt75,20th century experimental open view,train
vermeer33,Baroque Classical secular subject,train
c5b7a3ffd9855757b561d58e66124987c,Heavy metal,train
fss2018133001crop,Asian traditional folklore,train
sergesudeikin14,European traditional folklore,train
gustaveloiseau75,20th century experimental open view,train
601cf1cb0d63c46e52a298ef98270a4dc,Heavy metal,train
cunoamiet40,20th century experimental open view,train
fridakahlo28,Modern instrumental music,test
marcchagall111,European traditional folklore,train
candidoportinari18_2,Modern instrumental music,train
agnesmartinuntitledwhiteflower1961,Electronic music,train
odilonredonboatwithtwofigures1902,20th century experimental figure,train
amritashergil4,Asian traditional folklore,train
edgardegas410,Romanticism figure,train
jobaeruntitled1968,Electronic music,train
derekriggsetal8,Heavy metal,train
hieronymusbosch35,Renaissance symbolism,test
edgardegas205,Romanticism figure,train
paulklee124,20th century abstractionism,train
jacopopontormo35,Renaissance secular subject,train
romarebearden27,African traditional folklore,validation
raphaelkirchnertolove1,20th century experimental figure,test
diegorivera1,Modern instrumental music,validation
johnconstable10,Romanticism open view,train
marcchagall185,European traditional folklore,train
salvadordali14,20th century abstractionism,train
njidekaakunyilicrosby37,African traditional folklore,train
jeanmichelbasquiat110,Modern instrumental music,validation
josesabogaletal3,American traditional folklore,train
marcchagall151,European traditional folklore,train
franzmarc11,20th century experimental open view,train
odilonredonportraitofmadameredonwithari,20th century experimental figure,train
henridetoulouselautrec71,20th century traditional figure,train
vincentvangogh373,Romanticism open view,test
renemagritte63,20th century experimental open view,train
pierreaugusterenoir264,20th century traditional figure,train
gustavklimt7,20th century experimental open view,train
ef84affdce544f8daee8f17d92b29777c,Heavy metal,train
1e3bc5d51653c2ca804e05d2fb7b5516c,Electronic music,train
andreadelcastagno2,Renaissance secular subject,train
franzmarc20,20th century experimental open view,test
leonardodavinci53,Renaissance secular subject,train
alaaawad21,African traditional folklore,train
b625ea2bd9cba359f7109ee68488ae06c,Heavy metal,train
peterpaulrubens2,Baroque Classical symbolism,train
antonraphaelmengs1,Baroque Classical symbolism,train
michelangelo10_2,Renaissance secular subject,train
paularego3,Modern instrumental music,train
salvadordali134,20th century abstractionism,validation
bbe59acb2205f4fa51550bdcd19a102ac,Heavy metal,train
ivanaivazovskyviewofamsterdam1854,Romanticism open view,train
marinapallares16,American traditional folklore,train
gianlorenzoberniniportraitofayoungman16301,Baroque Classical secular subject,test
joaquintorresgarcia2,American traditional folklore,train
leonardodavinci135,Renaissance symbolism,train
vincentvangogh692,Romanticism open view,train
vasiliykandinskiy35,20th century abstractionism,train
vincentvangogh444,Romanticism open view,validation
markrothko16,20th century abstractionism,validation
jorgemartinslooklook19761,Electronic music,test
titian166,Renaissance symbolism,test
43ea475ff4373ab9e0ee5edd6fdd09afc,Modern instrumental music,train
pieterbruegel6,Renaissance secular subject,train
canalettosantigiovanniepaoloandthescuoladesanmarco,Baroque Classical secular subject,train
fernandlegerchurchsancellemozassy1947,European traditional folklore,train
filippmalyavin20,European traditional folklore,train
dmitrylevitzkyportraitofpriestpeterlevitzky1812,Baroque Classical symbolism,train
norvalmorrisseau50,American traditional folklore,train
gerardsekoto10,African traditional folklore,validation
kitagawautamarowomansmoking,Asian traditional folklore,train
mariaprimachenkoblueox1947,European traditional folklore,train
kentmonkman40,American traditional folklore,train
mikhailvrubel107,20th century traditional figure,train
richardtuttlevillagevinoi102005,Electronic music,train
pierreaugusterenoir4,20th century traditional figure,train
giambattistapittoni11,Baroque Classical symbolism,train
lucianfreudnakedgirl1985,20th century traditional figure,train
aztecart13,American traditional folklore,validation
leonbaksthelenedesparteactiisetdesign1912,20th century experimental open view,train
jacqueslouisdavid75,Baroque Classical symbolism,train
kolomanmosertherax,20th century traditional open view,test
raphaelkirchnerdeadlysins3,20th century experimental figure,train
richardtuttle20pearls82003,20th century abstractionism,validation
ea2c633039c55c152347e5c0b642bf10c,Heavy metal,train
francescodelcossa13,Renaissance secular subject,train
gerardfromangerbleuazural,Electronic music,train
amedeomodigliani184,20th century traditional figure,train
rembrandt29,Baroque Classical secular subject,train
xulsolar16,American traditional folklore,train
shitao14,Asian traditional folklore,validation
johnconstable20,Romanticism open view,train
renemagritte27,20th century experimental figure,train
andywarhol70,Electronic music,train
xubeihong19,Asian traditional folklore,train
pablopicasso262,20th century experimental figure,train
adriaenbrouwerinnwithdrunkenpeasants,Baroque Classical secular subject,train
pietmondrian50,20th century abstractionism,train
edouardmanet75,Romanticism figure,test
pietmondrian58,20th century abstractionism,train
03fcedc23691e11438bb7171dbe49cffc,Modern instrumental music,train
edouardmanet6,Romanticism figure,train
paulklee51,20th century abstractionism,train
odilonredonclosedeyes3,20th century experimental figure,train
walterbattiss72,African traditional folklore,train
johnmccrackenbrownblockinthreeparts1966,Electronic music,train
jacqueslouisdavid10,Baroque Classical symbolism,train
dmitrylevitzkyportraitofjohannhauffe1790,Baroque Classical secular subject,validation
0c50c501833f77270a21e92e78f4d018c,Electronic music,train
marshall10,African traditional folklore,train
hasselsmithuntitled101986,20th century abstractionism,train
childehassamsailingvesselatseasunset,20th century experimental open view,train
johnsingersargent33,20th century traditional open view,test
egonschielekneelingyoungman1908,20th century experimental figure,train
childehassamaprilquaivoltaireparis,20th century traditional open view,validation
mikhailvrubel7,20th century traditional figure,validation
vermeer5,Baroque Classical secular subject,train
pablopicasso251,20th century traditional figure,train
ernstludwigkirchnerwalkingwomanwithdog,20th century experimental figure,train
dmitrylevitzkyportraitofcatherinevorontsova,Baroque Classical secular subject,train
twinsevenseven14,African traditional folklore,train
sandrobotticelli105,Renaissance symbolism,train
jagdishswaminathan20,Asian traditional folklore,train
raphaelkirchnernewyorktribune19163,20th century experimental figure,train
lucianfreudgirlinadarkjacket1947,20th century traditional figure,train
rembrandt197,Baroque Classical secular subject,train
vincentvangogh189,Romanticism open view,train
lyonelfeininger1,20th century abstractionism,train
9c2885b78e8fedf25bb9ed11f135b494c,Heavy metal,test
janvaneyck56,Renaissance secular subject,train
balthus9,Modern instrumental music,validation
amedeomodigliani128,20th century traditional figure,train
walterbattiss19,African traditional folklore,train
henrimatisse127,20th century traditional figure,train
c8fdf90511b815326eb863467c979f25c,Heavy metal,validation
sandrobotticelli106,Renaissance symbolism,train
giovannibattistatiepolo25,Baroque Classical symbolism,train
paulreedgdwf2004,20th century abstractionism,train
leonardodavinci51,Renaissance secular subject,train
williamhogarththetimes,Baroque Classical symbolism,train
norvalmorrisseau53,American traditional folklore,train
zdzislawbeksinski165,Heavy metal,train
kazimirmalevich98,20th century abstractionism,test
candidoportinari29,American traditional folklore,train
williamscottpainting1959,20th century abstractionism,test
forrestbessspots1967,20th century abstractionism,train
antoineblanchardruenorvinsplacedutertremontmartre,20th century traditional open view,train
54b70ecbf355ffbc8c4cd810079b2a1ac,European traditional folklore,validation
peterpaulrubens5,Baroque Classical symbolism,train
amedeomodigliani9,20th century traditional figure,train
arturomichelena3,American traditional folklore,train
hrgiger3,Heavy metal,train
giovannibattistatiepolo41,Baroque Classical symbolism,train
zdzislawbeksinski172,Heavy metal,train
gustavecourbet54,Romanticism open view,train
vincentvangogh599,Romanticism figure,train
marcchagall103,European traditional folklore,train
walterbattiss125,African traditional folklore,train
4213dfeef9e11bfd579ff4f826b06c23c,European traditional folklore,train
dratl3,American traditional folklore,train
salvadordali42,20th century abstractionism,train
giottodibondone65,Renaissance symbolism,train
e0002d525643b68a89c1f0c6adbabb8bc,African traditional folklore,train
paulgauguin32,20th century experimental open view,test
wifredolam2,American traditional folklore,train
giottodibondone54,Renaissance symbolism,train
jahardasgupta24,Asian traditional folklore,train
raphael57,Renaissance symbolism,train
pisanello11,Renaissance secular subject,test
vincentvangogh182,Romanticism figure,train
abanindranathtagore9,Asian traditional folklore,train
giovannibattistatiepolo30,Baroque Classical symbolism,train
pierreaugusterenoir246,20th century traditional open view,train
rembrandt41,Baroque Classical secular subject,validation
jacobjordaenstriumphoffrederikhendrik,Baroque Classical symbolism,train
walterbattiss110,African traditional folklore,train
fourmountedindians1914jpglarge,American traditional folklore,train
norvalmorrisseau44,American traditional folklore,train
kittelsen19,European traditional folklore,train
hubertineheijermans17,20th century traditional open view,train
xulsolar24,American traditional folklore,train
67ea7042325fa42ac4a7d5f348b70f09c,Heavy metal,train
caspardavidfriedrich71,Romanticism figure,train
renemagritte57,20th century experimental open view,train
8a1e303ed3f746f2d38552d0975f6bd0c,Electronic music,train
901030il,Asian traditional folklore,train
cunoamiet27,20th century experimental open view,train
nikosengonopoulos7,European traditional folklore,validation
janvaneyck13,Renaissance symbolism,train
samfrancisuntitled0441987,20th century abstractionism,train
stuartdavis17,Modern instrumental music,test
vincentvangogh16,Romanticism figure,train
ivanaivazovskyseabattlenearvyborg1846,Romanticism open view,train
56198dcdd531c70dfa197ce1210395bdc,Heavy metal,validation
akkithamnarayanan3,Asian traditional folklore,train
allenjonesuntitled1974,Electronic music,train
zdzislawbeksinski157,Heavy metal,train
9af24c288e4bbfbcb56a986c8d5a4658c,Heavy metal,validation
vincentvangogh785,Romanticism open view,train
franciscogoya86,Romanticism figure,train
williamhogarthsuicideofthecountess,Baroque Classical secular subject,test
3b7a97f0bcfad30cab46452f70ba01d5c,Heavy metal,train
ogatakorinetal1,Asian traditional folklore,test
rembrandt242,Baroque Classical secular subject,validation
thomashartbenton20,Modern instrumental music,train
robertomatta11,Electronic music,train
jacksonpollock10,20th century abstractionism,train
henrimatisse18,20th century traditional figure,train
henrirousseau49,20th century traditional open view,train
jacobjordaensstudyoftheheadofabrahamgrapheus1621,Baroque Classical secular subject,train
ruthannaqtuusitulurialik7,American traditional folklore,train
talr2,Asian traditional folklore,train
allanramsayportraitofjanetdick,Baroque Classical secular subject,validation
carmelo_arden_quin,American traditional folklore,train
andywarhol59,Electronic music,train
kazimirmalevich43,20th century traditional figure,train
sebastianodelpiombo23,Renaissance secular subject,train
robertgoodnoughhorsesiii1960,20th century abstractionism,train
fridakahlo95,Modern instrumental music,test
odilonredonapolloschariot7,20th century experimental open view,train
raphaelkirchnerparfums19004,20th century experimental figure,train
95dac8889e47f3e7ba103b01a5ecfdf9c,Electronic music,test
edgardegas65,Romanticism figure,train
adriaenvanostadepeasantscarousinganddancingoutsideaninn,Baroque Classical secular subject,train
qibaishi31,Asian traditional folklore,train
vincentvangogh698,Romanticism open view,train
walterbattiss133,African traditional folklore,train
giottodibondone93,Renaissance symbolism,train
raphaelkirchnergreekvirgins19004,20th century experimental figure,train
johnatkinsongrimshawsixtyyearsago,Romanticism open view,train
gustavklimt44,20th century experimental open view,train
joseclementeorozco3,American traditional folklore,train
vincentvangogh119,Romanticism figure,train
pablopicasso134,20th century experimental figure,train
vincentvangogh520,Romanticism open view,train
peterpaulrubens131,Baroque Classical symbolism,test
edgardegas394,20th century traditional figure,train
lucianfreudirishwomanonabed2004,20th century traditional figure,train
laurelcanyonetal2,Modern instrumental music,train
romerobritto2,Electronic music,train
vincentvangogh292,Romanticism open view,validation
giovannidomenicotiepolo33,Baroque Classical symbolism,train
francescoribalta35,Baroque Classical symbolism,train
lametal5,American traditional folklore,train
andrebauchantcinqpersonnagesdansunpaysagedemontagne1953,European traditional folklore,train
edgardegas143,20th century traditional figure,train
johnhenrytwachtman10,20th century experimental open view,train
paulklee61,20th century abstractionism,train
michelangelo4,Renaissance symbolism,train
kolomanmoserlandscapewithtree1896,20th century experimental open view,train
johnsingersargent2,20th century traditional open view,train
johnhenrytwachtman42,20th century experimental open view,train
katsushikahokusaipairofsissorsandsparrow,Asian traditional folklore,train
bahiashehab5,African traditional folklore,train
utagawakuniyoshiwomenwalkinginthesnow,Asian traditional folklore,train
a043652918709597225153e2953c491ac,Heavy metal,train
jeanmichelbasquiat94,Modern instrumental music,test
30120a56d5deccda6787fab6350ea72bc,Modern instrumental music,test
pierreaugusterenoir97,20th century traditional figure,train
filippoindoni13,European traditional folklore,train
brianenoetal4,Electronic music,train
juanbautistamaino3,Baroque Classical symbolism,train
pieterbruegel107,Renaissance secular subject,train
edouardmanet48,Romanticism figure,train
pablopicasso102,20th century experimental figure,train
alfredsisley164,Romanticism open view,train
jerrybywatersetal8,Modern instrumental music,train
franciscogoya94,Romanticism figure,train
pauljenkinsphenomenasolsticeencounter,20th century abstractionism,train
renemagritte64,20th century abstractionism,train
leonardodavinci86,Renaissance secular subject,train
westernmontage1889jpglarge,American traditional folklore,train
d06537309b88ef63b77daa604d0c8674c,Electronic music,train
francescoribalta17,Baroque Classical symbolism,test
fridakahlo40,Modern instrumental music,test
amedeomodigliani46,20th century traditional figure,validation
pablopicasso309,20th century experimental figure,train
jeanmichelbasquiat132,Modern instrumental music,train
wolfgangpaalen17,American traditional folklore,train
giovannibattistapiranesi42,Baroque Classical symbolism,train
walterbattiss93,African traditional folklore,train
mfhusain47,Asian traditional folklore,train
alfredsisley160,Romanticism open view,test
yvesgaucherdansecarreonceuponasquare1964,Electronic music,train
frankstellauntitledabstraction1956,20th century abstractionism,train
beauforddelaney29,Modern instrumental music,train
franciscogoya95,Romanticism figure,validation
0317f7dac3130a18dbec7485b773d136c,Heavy metal,train
vincentvangogh634,Romanticism open view,train
pietmondrian60,20th century abstractionism,train
fridakahlo67,Modern instrumental music,train
danchristensendromos1986,20th century abstractionism,test
esaiasvandeveldeautumn,Baroque Classical secular subject,train
johnmarin20,20th century experimental open view,test
irmastern6,African traditional folklore,train
vasiliykandinskiy27,20th century abstractionism,test
conradmarcarelliuntitled1955,20th century abstractionism,train
franciscogoya96,Romanticism figure,test
mikalojusciurlionisseaatnight1906,20th century experimental open view,train
vincentvangogh405,Romanticism open view,train
kolomanmoserversacrumpostcardnr12isecessionausstellungwithgreetinglineofthearthistorianjulius1898,20th century experimental figure,train
xulsolar31,American traditional folklore,train
pablopicasso277,20th century abstractionism,validation
sandrobotticelli46,Renaissance symbolism,test
franciscooller1,American traditional folklore,train
claudiocoello4,Baroque Classical symbolism,train
kazimirmalevich120,20th century abstractionism,train
nicholasroerichmongolianhorseman,20th century traditional open view,train
sandrobotticelli75,Renaissance symbolism,train
cunoamiet42,20th century experimental open view,train
zdzislawbeksinski93,Heavy metal,train
salvadordali54,20th century abstractionism,train
paulgauguin108,20th century traditional figure,train
franshalsfisherboy1632,Baroque Classical secular subject,validation
ernstludwigkirchnerevenigscene,20th century experimental figure,train
walterbattiss107,African traditional folklore,train
nicholasroerichyaroslavlsaintbasilchurch1903,20th century traditional open view,train
camillepissarro18,20th century traditional open view,train
michelangelo46,Renaissance symbolism,train
toddschorr20,Heavy metal,train
willemdekooningnight,20th century abstractionism,train
markrothko20,20th century abstractionism,validation
andreirublev7,Renaissance symbolism,train
donatobramante3,Renaissance secular subject,train
georgiaokeefee110,20th century experimental open view,train
walterbattiss101,African traditional folklore,train
lallaessaydi46,African traditional folklore,train
lallaessaydi57,African traditional folklore,train
zandaqianetal22,Asian traditional folklore,validation
francescoribalta6,Baroque Classical symbolism,train
raphael32,Renaissance symbolism,train
theodorosstamosthreekings1949,20th century abstractionism,train
giuseppemariacrespi8,Baroque Classical symbolism,train
caspardavidfriedrich14,Romanticism open view,train
howardfinster6,Modern instrumental music,train
renemagritte148,20th century experimental figure,train
jeanmichelbasquiat18,Modern instrumental music,train
alfredsisley213,Romanticism open view,train
aztecart18,American traditional folklore,train
loscheggia13,Renaissance secular subject,train
odilonredonfloweroftheswampaheadhumanandsad1885,20th century experimental figure,validation
johnhenrytwachtman57,20th century experimental open view,test
michealwhelanetal3,Heavy metal,train
fridakahlo44,Modern instrumental music,train
josemariavelasco25,20th century traditional open view,train
nicholasroerichcity19072,20th century experimental open view,train
fe49bd9a5d74f687b2bb1a6361cb6235c,African traditional folklore,train
andywarhol37,Electronic music,test
fernandobotero11,Modern instrumental music,train
titian99,Renaissance secular subject,train
renemagritte62,20th century experimental figure,train
paulgauguin104,20th century traditional figure,train
fernandlegermanufacturersonabluebackground1951,European traditional folklore,validation
frankstellacounterpanefromthewavesseries1989,20th century abstractionism,train
nicholasroerichstudytoconquestofkazan,20th century experimental open view,test
ayjacksonterresauvage1913,20th century experimental open view,train
92fe456d5a5cef66215394c273e9aa9fc,Heavy metal,train
jeanbaptistesimeonchardin2,Baroque Classical symbolism,train
davidbatchelorcandela7450forthedeathstar2006,Electronic music,train
nicholasroerichladakh1925,20th century traditional open view,train
manabumabelife,20th century abstractionism,train
johnatkinsongrimshawleahurstkent,Romanticism open view,train
henrirousseau51,European traditional folklore,train
carlocarra3,European traditional folklore,test
georgesegalpicassoschair1973,Electronic music,train
gustavklimt63,20th century experimental open view,test
ramonoviedo8,American traditional folklore,validation
mauriceutrillomontstmichel,20th century traditional open view,train
armandoreveron3,American traditional folklore,train
barringtonwatson27,African traditional folklore,train
6df2248d3d5b54de2e64da472faf080ac,Heavy metal,train
abanindranathtagore12,Asian traditional folklore,train
martirossaryantothespring1909,20th century experimental open view,train
pablopicasso370,20th century traditional figure,train
howardfinster5,Modern instrumental music,train
amedeomodigliani8,20th century traditional figure,train
pablopicasso166,20th century traditional figure,train
318c01d78ef6ac1c708beaadc124f943c,Electronic music,train
raphaelkirchnergirlswithgoodluckcharms5,20th century experimental figure,train
peterpaulrubens70,Baroque Classical symbolism,train
javiermarsicaletal2,Modern instrumental music,validation
pablopicasso85,20th century abstractionism,train
ronihornblackasphere91988,Electronic music,train
rajaravivarma3,Asian traditional folklore,test
paulinebotycolourhergone1962,Electronic music,train
marcchagall228,European traditional folklore,test
walterbattiss14,African traditional folklore,train
ivanaivazovskytherainbow1873,Romanticism open view,train
8900afc7ea83308226f10f6772b2ee4dc,Heavy metal,train
mikhailvrubel111,20th century traditional figure,test
johnmarin18,20th century experimental open view,train
gustaveloiseau53,20th century experimental open view,train
ivanaivazovskythebayofnaplesatnight1895,Romanticism open view,train
romerobritto5,Electronic music,train
benjaminwestportraitofannbarbarahillmedlycott1788,Baroque Classical secular subject,train
fridakahlo94,Modern instrumental music,train
mceschernotdetected204719,20th century abstractionism,train
pablopicasso163,20th century experimental figure,train
mikhailvrubel65,20th century traditional figure,train
jeanbaptistesimeonchardin26,Baroque Classical secular subject,test
martinwongetal10,Electronic music,train
andywarhol144,Electronic music,train
albrechtduerer130,Renaissance symbolism,train
salvadordalicadaverinseoulchroelisei2kings13211967,20th century abstractionism,train
childehassamflagstonesidewalkportsmouthnewhampshire,20th century traditional open view,train
nicholasroerichzvenigorodholygate1904,20th century traditional open view,train
acf7b918b76fdd42275aa98b244a3de7c,Modern instrumental music,train
irmastern4,African traditional folklore,train
walterbattissseychelles,Electronic music,train
antonioligabue2,European traditional folklore,test
vincentvangogh779,Romanticism open view,train
edvardmunch52,20th century traditional figure,train
olouisguglielmi11,African traditional folklore,train
fridakahlo62,Modern instrumental music,train
pierreaugusterenoir49,20th century experimental figure,train
alfredsisley143,Romanticism open view,train
ec09e9e5b3cb56d220c10a2412fa391cc,Heavy metal,validation
markrothko3,20th century experimental figure,train
92835fdfcc765b47cd413dec0422ca98c,Modern instrumental music,train
f71e4a86e5f8c83e1f24a2fd91f6fa05c,Heavy metal,validation
vincentvangogh496,Romanticism figure,train
vincentvangogh151,Romanticism figure,train
rufinotamayoretratodeniosparejadenios1966,20th century abstractionism,train
ramonoviedo22,American traditional folklore,train
marinapallares18,American traditional folklore,validation
5ad0fa1af317cfd22d3706ea1876b110c,African traditional folklore,train
amedeomodigliani27,20th century traditional figure,train
renemagritte124,20th century experimental figure,train
keeoma1898jpglarge,American traditional folklore,test
vincentvangogh39,Romanticism open view,validation
davidburliukdonquixoteandsanchopanza,European traditional folklore,train
peterpaulrubens37,Baroque Classical symbolism,train
edgardegas542,Romanticism figure,train
66227774b32e8d6e6ff4ca334ef8f4ffc,Heavy metal,train
norvalmorrisseau62,American traditional folklore,train
francescoguardiviewofthemolotowardsthesantamariadellasalute1780,Baroque Classical secular subject,train
amritashergil2,Asian traditional folklore,validation
hiroshigejapanesetriptychprintshowingjapaneseandforeignpeoplewalkingalongthesumidariver,Asian traditional folklore,train
8ed85aa2caec0ee20c4f73c9c40da7f7c,African traditional folklore,train
paulgauguin280,20th century traditional open view,test
edgardegas620,Romanticism figure,validation
jansteencountrywedding1666,Baroque Classical secular subject,test
janluyken7,Baroque Classical symbolism,train
robertrauschenberg31,Modern instrumental music,train
amedeomodigliani60,20th century traditional figure,validation
nicholasroerichshewhoholdstheworld1937,20th century traditional figure,train
toddschorr17,Heavy metal,train
edgardegas244,Romanticism figure,validation
gustaveloiseau74,20th century experimental open view,train
mauricequentindelatourstudyforportraitofunknownman1,Baroque Classical secular subject,train
leogausson8,20th century experimental open view,train
marioschifanountitled1961,Electronic music,test
l_s_lowry2,European traditional folklore,validation
edgardegas654,Romanticism figure,train
raphaelkirchnergirlsamidplants1,20th century experimental figure,train
giovannibattistatiepolo8,Baroque Classical symbolism,train
pierreaugusterenoir90,20th century traditional figure,train
vincentvangogh31,Romanticism open view,train
andywarhol68,Electronic music,test
gustavecourbet59,Romanticism figure,train
vikingart14,European traditional folklore,test
paulgauguin181,20th century experimental figure,train
henkpeeterspyrographiebothsidesflames1959,Electronic music,train
hiroyamagatanotdetected272415,Electronic music,train
renemagritte129,20th century experimental figure,train
vincentvangogh751,Romanticism open view,train
fridakahlo50,Modern instrumental music,train
walterbattiss5,African traditional folklore,train
fs560006,Asian traditional folklore,train
frankstellashardsvariantia1982,20th century abstractionism,validation
aztecart73,American traditional folklore,validation
edrepkaetal11,Heavy metal,train
pierreaugusterenoir331,20th century traditional figure,test
mikhailvrubel62,20th century traditional figure,train
alfredsisley24,Romanticism open view,train
gustaveloiseau54,20th century experimental open view,train
andywarhol166,Electronic music,train
ae3d378276e217cf38c3cc9ad80daa86c,Heavy metal,train
kitagawautamarookitatheteahousegirl1,Asian traditional folklore,train
marcchagall34,European traditional folklore,train
jacqueslouisdavid16,Baroque Classical symbolism,test
pierreaugusterenoir251,20th century traditional figure,train
nicholasroerichbureingolqaidam1928,20th century traditional open view,train
duccio1,Renaissance symbolism,train
vermeer11,Baroque Classical secular subject,train
caughtintheact1888jpglarge,American traditional folklore,train
edvardmunch35,20th century traditional figure,test
7895e31d68e3112696dabbab2ae1b2a3c,Electronic music,test
albrechtduerer154,Renaissance secular subject,validation
robertmangoldtudyatticseriesxiv1991,Electronic music,train
aztecart6,American traditional folklore,train
benjaminwest23,Baroque Classical symbolism,train
vincentvangogh131,Romanticism figure,train
edgardegas152,Romanticism figure,train
remediosvaro25,American traditional folklore,train
kazimirmalevich18,20th century abstractionism,train
titian260,Renaissance secular subject,train
paulgauguin72,20th century traditional figure,train
menez8,European traditional folklore,train
konstantinmakovskydervish,Romanticism figure,train
feedc8ad62522b0a3fad4ab2641508b7c,Electronic music,train
joseclementeorozco22,American traditional folklore,train
edgardegas436,20th century traditional figure,train
sandrobotticelli1,Renaissance symbolism,train
egonschieledoubleportraitchiefinspectorheinrichbeneschandhissonotto1913,20th century traditional figure,train
nicholasroerichpskovtowers1903,20th century traditional open view,train
raphaelkirchnernudedrawings1,20th century experimental figure,train
giovannipaolopaniniadorationoftheshepherdsadorationofthemagi1755,Baroque Classical symbolism,train
leeufanfrompoint1975,20th century abstractionism,train
franciscogoya33,Romanticism figure,train
twinsevenseven23,African traditional folklore,train
lucianfreudheadofaboy,20th century traditional figure,train
vasiliykandinskiy87,20th century abstractionism,train
claudemonet29,20th century traditional open view,test
walterbattiss48,African traditional folklore,test
pablopicasso174,20th century experimental figure,train
alfredsisley48,Romanticism open view,validation
cunoamiet13,20th century experimental open view,train
mikhailvrubel143,20th century traditional figure,train
caspardavidfriedrich79,Romanticism open view,test
aliomarermes1,African traditional folklore,train
d406035a1b754ef1c2569fdd9d078fb7c,Electronic music,train
janvaneyck14,Renaissance symbolism,validation
antonellodamessinaportraitofaman,Renaissance secular subject,validation
abanindranathtagore6,Asian traditional folklore,train
nicholasroerichthehutofdead1905,20th century traditional open view,train
miltonresnickflag1963,20th century abstractionism,train
fridakahlo58,Modern instrumental music,train
manuelrodriguezlozano3,American traditional folklore,train
edgardegas17,Romanticism figure,validation
norvalmorrisseau73,American traditional folklore,train
pieterbruegel111,Renaissance secular subject,train
riddendowndetail1906jpglarge,American traditional folklore,train
ivanaivazovskyharbor1850,Romanticism open view,train
fs621612,Asian traditional folklore,train
alfredsisley67,Romanticism open view,test
a27ff87454d52d5e1bac9c53bf4121dac,African traditional folklore,train
paulgauguin84,20th century traditional figure,train
bobdylanetal5,Modern instrumental music,validation
gerardsekoto25,African traditional folklore,train
hendrickcorneliszvroomviewofhoornnetherlands1622,Baroque Classical secular subject,train
egonschieletheartistssistermelanie1908,20th century experimental figure,train
marcchagall113,European traditional folklore,train
vincentvangogh517,Romanticism open view,test
c7621035536fab52ac7892507bbbe8d2c,Heavy metal,train
vittorecarpaccio7,Renaissance secular subject,test
konstantinmakovskyinthegarden,Romanticism figure,train
henrimatisse169,20th century traditional figure,train
manuelasambo3,African traditional folklore,train
velazanetti4,American traditional folklore,train
nicholasroerichtranshimalayasnearsaga,20th century traditional open view,train
nikopirosmaniabearinamoonnight1914,European traditional folklore,validation
thomasgainsboroughmaryladybatedudley1787,Baroque Classical secular subject,train
